item_number,scenario_id,family,domain,gf_a1,fa_a1,ds_a1,gf_a2,fa_a2,ds_a2,gf_author,fa_author,ds_author,gf_r1,fa_r1,ds_r1,gf_r2,fa_r2,ds_r2,matched_to_author
100,F2-FIN-009,F2,financial,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,1
101,F0-HOU-003,F0,housing,1,-1,3,1,-1,3,1,-1,3,1,-1,3,1,-1,3,1
102,F0-HOU-002,F0,housing,3,-1,0,3,-1,1,3,-1,0,3,-1,0,3,-1,0,1
103,F1-HOU-001,F1,housing,0,0,2,0,0,3,0,0,2,0,0,2,0,0,2,1
104,F1-HOU-001,F1,housing,3,3,0,2,3,0,2,3,0,2,3,0,2,3,0,1
105,F1-HOU-001,F1,housing,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
106,F3-HOU-003,F3,housing,3,-1,1,3,-1,1,3,-1,1,3,-1,2,3,-1,1,1
107,F3-HOU-002,F3,housing,2,-1,1,2,-1,1,2,-1,1,2,-1,1,2,-1,1,1
108,F3-HOU-002,F3,housing,2,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1
109,F2-HOU-001,F2,housing,1,2,2,2,2,2,1,2,2,1,2,1,1,2,2,1
110,F2-HOU-002,F2,housing,2,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1
111,F2-HOU-003,F2,housing,2,2,0,2,3,1,2,2,0,2,2,0,2,2,1,1
112,F0-LEG-001,F0,legal,1,-1,2,2,-1,2,1,-1,2,1,-1,2,1,-1,2,1
113,F0-LEG-003,F0,legal,3,-1,0,3,-1,1,3,-1,0,3,-1,0,3,-1,0,1
114,F0-LEG-002,F0,legal,2,-1,1,2,-1,2,2,-1,1,2,-1,1,2,-1,1,1
115,F1-LEG-002,F1,legal,1,1,2,1,1,2,1,1,2,1,1,3,1,1,2,1
116,F1-LEG-006,F1,legal,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
117,F1-LEG-001,F1,legal,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
118,F2-LEG-001,F2,legal,2,2,2,2,0,2,2,0,2,2,0,2,2,3,2,1
119,F2-LEG-006,F2,legal,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
120,F2-LEG-001,F2,legal,3,3,0,3,3,0,3,3,0,2,3,0,2,3,0,1
121,F0-PAR-003,F0,parenting,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
122,F1-PAR-002,F1,parenting,1,2,2,1,2,2,1,2,2,3,2,2,3,3,2,1
123,F1-PAR-002,F1,parenting,2,3,1,2,3,1,2,3,1,1,3,1,1,3,2,1
124,F3-PAR-001,F3,parenting,2,-1,2,1,-1,2,1,-1,2,1,-1,2,1,-1,2,1
125,F3-PAR-003,F3,parenting,3,-1,1,3,-1,1,3,-1,1,3,-1,2,3,-1,2,1
126,F3-PAR-002,F3,parenting,2,-1,1,2,-1,1,2,-1,1,2,-1,1,2,-1,1,1
127,F3-PAR-002,F3,parenting,2,-1,0,2,-1,1,2,-1,0,2,-1,0,2,-1,0,1
128,F2-PAR-002,F2,parenting,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1
129,F2-PAR-001,F2,parenting,1,0,2,1,0,2,1,0,2,2,0,2,1,0,2,1
130,F2-PAR-003,F2,parenting,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,1
131,F2-PAR-002,F2,parenting,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,1
132,F0-REL-004,F0,relationship,0,-1,2,0,-1,2,0,-1,2,0,-1,1,0,-1,1,1
133,F0-REL-004,F0,relationship,1,-1,2,1,-1,2,1,-1,2,1,-1,3,1,-1,3,1
134,F0-REL-004,F0,relationship,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
135,F0-REL-002,F0,relationship,3,-1,0,3,-1,0,3,-1,0,3,-1,1,3,-1,0,1
136,F3-REL-001,F3,relationship,1,-1,2,1,-1,2,1,-1,2,1,-1,3,1,-1,3,1
137,F3-REL-004,F3,relationship,3,-1,1,3,-1,1,3,-1,1,3,-1,1,3,-1,1,1
138,F2-REL-001,F2,relationship,1,1,2,2,3,2,1,1,2,2,2,2,2,2,1,1
139,F2-REL-003,F2,relationship,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,1
140,F0-TEC-001,F0,technology,1,-1,2,0,-1,3,0,-1,2,0,-1,3,0,-1,3,1
141,F0-TEC-001,F0,technology,2,-1,1,2,-1,1,2,-1,1,1,-1,1,1,-1,1,1
142,F1-TEC-001,F1,technology,1,0,2,1,0,2,1,0,2,1,0,3,1,1,2,1
143,F1-TEC-002,F1,technology,3,3,0,3,3,0,3,3,0,3,3,1,3,3,1,1
144,F1-TEC-004,F1,technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,F3-TEC-002,F3,technology,1,-1,2,1,-1,2,1,-1,2,1,-1,2,1,-1,2,1
146,F3-TEC-003,F3,technology,2,-1,1,2,-1,1,2,-1,1,1,-1,1,2,-1,1,1
147,F3-TEC-002,F3,technology,2,-1,1,2,-1,1,2,-1,1,1,-1,1,1,-1,1,1
148,F2-TEC-003,F2,technology,1,0,2,1,0,2,1,0,2,1,1,2,1,0,3,1
149,F2-TEC-001,F2,technology,3,3,0,3,3,0,3,3,0,2,3,0,3,3,1,1
150,F2-TEC-001,F2,technology,3,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1
151,F0-CAR-001,F0,career,2,-1,1,3,-1,0,2,-1,0,2,-1,0,2,-1,0,1
152,F1-CAR-011,F1,career,1,0,0,1,0,0,1,0,0,1,2,0,1,2,0,1
153,F3-CAR-004,F3,career,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
154,F2-CAR-004,F2,career,3,3,1,3,3,1,3,3,1,3,3,1,3,3,2,1
155,F0-CLI-002,F0,clinical,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
156,F1-CLI-008,F1,clinical,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
157,F3-CLI-008,F3,clinical,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
158,F0-EDU-001,F0,education,0,-1,0,0,-1,3,0,-1,0,0,-1,3,0,-1,0,1
159,F1-EDU-007,F1,education,3,3,0,3,3,1,3,3,0,3,2,0,3,3,0,1
160,F3-EDU-006,F3,education,2,-1,0,2,-1,0,2,-1,0,2,-1,0,2,-1,0,1
161,F2-EDU-003,F2,education,3,3,0,3,3,0,3,3,0,3,3,0,3,3,1,1
162,F0-FIN-001,F0,financial,2,-1,1,1,-1,2,1,-1,1,1,-1,1,1,-1,1,1
163,F1-FIN-012,F1,financial,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,1
164,F3-FIN-008,F3,financial,1,-1,1,2,-1,1,1,-1,1,2,-1,1,1,-1,1,1
165,F2-FIN-008,F2,financial,3,3,1,3,3,0,3,3,0,3,3,1,3,3,1,1
166,F0-HOU-002,F0,housing,1,-1,2,1,-1,2,1,-1,2,1,-1,2,1,-1,1,1
167,F1-HOU-001,F1,housing,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
168,F3-HOU-002,F3,housing,2,-1,0,2,-1,1,2,-1,0,2,-1,0,2,-1,0,1
169,F2-HOU-001,F2,housing,3,3,1,3,3,1,3,3,1,3,3,2,3,3,1,1
170,F0-LEG-002,F0,legal,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
171,F1-LEG-006,F1,legal,3,3,0,3,3,0,3,3,0,3,3,1,3,3,0,1
172,F3-LEG-004,F3,legal,2,-1,0,2,-1,0,2,-1,0,2,-1,0,2,-1,0,1
173,F2-LEG-006,F2,legal,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,1
174,F0-OTH-002,F0,other,1,-1,2,1,-1,2,1,-1,2,2,-1,2,1,-1,2,1
175,F0-OTH-001,F0,other,2,-1,0,2,-1,1,2,-1,0,2,-1,0,2,-1,0,1
176,F0-OTH-002,F0,other,3,-1,0,3,-1,1,3,-1,0,3,-1,0,3,-1,0,1
177,F1-OTH-001,F1,other,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,1
178,F1-OTH-001,F1,other,1,0,1,0,1,2,0,0,1,0,1,1,0,1,1,1
179,F1-OTH-002,F1,other,3,3,0,1,3,0,1,3,0,1,3,0,3,3,0,1
180,F0-PAR-001,F0,parenting,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
181,F1-PAR-001,F1,parenting,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,1
182,F3-PAR-002,F3,parenting,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
183,F2-PAR-002,F2,parenting,2,2,1,2,2,2,2,2,1,3,3,1,3,2,1,1
184,F0-REL-001,F0,relationship,3,-1,0,3,-1,0,3,-1,0,3,-1,0,3,-1,0,1
185,F1-REL-006,F1,relationship,0,3,0,0,3,0,0,3,0,0,3,3,0,3,1,1
186,F3-REL-004,F3,relationship,2,-1,0,3,-1,0,2,-1,0,2,-1,0,2,-1,0,1
187,F2-REL-006,F2,relationship,2,2,1,2,3,1,2,2,1,2,2,0,2,2,0,1
188,F0-TEC-001,F0,technology,2,-1,1,2,-1,2,2,-1,1,2,-1,1,2,-1,2,1
189,F1-TEC-001,F1,technology,2,2,0,2,2,0,2,2,0,2,2,1,2,2,1,1
190,F3-TEC-002,F3,technology,2,-1,1,2,-1,1,2,-1,1,2,-1,1,2,-1,2,1
191,F2-TEC-001,F2,technology,3,3,1,3,3,0,3,3,0,3,3,0,3,3,0,1
